AFC_Cup,309972
ARE_UAE_Emirates_Cup_Group_Stage,4039797
ARE_UAE_Premier_League,258537
ARG_Argentinian_Primera_B_Metropolitana,3765124
ARG_Argentinian_Primera_B_Nacional,803237
ARG_Argentinian_Primera_C_Metropolitana,7511144
ARG_Argentinian_Primera_Division,67387
ARG_Copa_Argentina,1227903
ARG_Torneo_Federal_A,7617364
ARM_Armenian_First_League,3061353
ARM_Armenian_Premier_League,2888729
AUT_Austrian_Bundesliga,7
AUT_Austrian_OFB_Ladies_Cup,7593578
AUT_Austrian_Regionalliga,7317506
AUT_Erste_Liga,9
AUT_Samsung_Cup,167716
AZE_Azerbaijan_Premier,895129
AZE_I_Divizion,4517491
BEL_Belgian_Jupiler_League,89979
BEL_Belgian_Second_Division,164952
BEL_Beloften_Pro_League,3037492
BEL_Super_League_women,8189587
BGD_Bangladeshi_Premier_League,5388369
BGR_Bulgarian_B_PFG,5618298
BGR_Bulgarian_Cup,309948
BGR_Bulgarian_Premier,15
BGR_Bulgarian_Super_Cup,338432
BGR_Bulgarian_U19_League,8211415
BHR_Bahrain_FA_Cup,1478090
BIH_Bosnian_Premier_League,3127357
BLR_Belarus_League_W,1079277
BLR_Belarusian_1st_Division,3126267
BLR_Belarusian_Premier_League,888275
BOL_Bolivian_Liga_Nacional_A,3729355
BRA_Brazil_Carioca_U20,7425648
BRA_Brazilian_Cup,89219
BRA_Brazilian_Division_2,321319
BRA_Brazilian_Paranaense_U19,7717120
BRA_Brazilian_Serie_C,3172302
BRA_Brazilian_Serie_D,7980087
BRA_Brazilian_Taca_FPF,7883210
BRA_Campeonato,13
BRA_Campeonato_Valmir_Louruz,8011625
BRA_Copa_Paulista,3583988
BRA_Copa_Rio,5982310
BRA_Copa_do_Brasil_U20,3744990
BRA_Paulista_U20,3127716
BRA_Serie_C,3172302
BRA_U20_Championship,804633
BRB_Barbados_Premier_League,4644792
CAF_Champions_League,987643
CAN_Canadian_Championship,908099
CAN_Canadian_PCSL,5389244
CAN_Ontario_League_1,5339687
CHE_Swiss_Challenge_League,135
CHE_Swiss_Super_League,133
CHE_Swisscom_Cup,29051
CHL_Chilean_Cup,961354
CHL_Chilean_Primera,744098
CHL_Chilean_Primera_B,857992
CHL_Chilean_Segunda_Division,3085749
CHN_Chinese_Super_League,879931
COL_Colombian_Primera_A,844197
COL_Colombian_Primera_B,856134
COL_Copa_Colombia,854148
CRI_Costa_Rican_Primera_Division,2079376
CZE_1_Liga_Women,3765192
CZE_Czech_2_Liga,862638
CZE_Czech_3_Liga,892425
CZE_Czech_Republic_Cup,97807
CZE_Czech_U19_League,1987477
CZE_Czech_U21_League,4848838
CZE_Synot_Liga,21
DEU_3_Liga,158146
DEU_Bavarian_Cup,7152675
DEU_Bundesliga_1,59
DEU_Bundesliga_2,61
DEU_Bundesliga_W,6294253
DEU_German_Junioren_Bundesliga,852459
DEU_Regionalliga_Bayern,853948
DEU_Regionalliga_Nord,63
DEU_Regionalliga_Nordost,318343
DEU_Regionalliga_Sudwest,65
DEU_Regionalliga_West,840808
DEU_Westfalenpokal,1242586
DNK_Danish_Cup,30921
DNK_Danish_Division_1,25
DNK_Danish_Division_2,7998231
DNK_Danish_Reserve_League,858294
DNK_Danish_Superliga,23
DNK_Danish_U19_League,940730
DNK_Danish_U21_League,886334
DNK_Denmark_Series,8244827
DNK_Division_2_East,29
DNK_Division_2_West,27
DNK_Elitedivisionen_W,3221347
DZA_Algerian_Ligue_1,4431442
DZA_Algerian_U21_Ligue_1,3792498
DZA_Algerian_U21_Ligue_2,4556663
ECU_Ecuadorian_Primera_A,803690
ECU_Ecuadorian_Serie_B,3057583
EGY_Egyptian_Cup,802004
EGY_Egyptian_Premier,801976
ESP_Copa_Catalunya,1032778
ESP_Primera_Division,117
ESP_Primera_Division_W,6362364
ESP_Segunda_B1,121
ESP_Segunda_B2,123
ESP_Segunda_B3,125
ESP_Segunda_B4,127
ESP_Segunda_Division,119
ESP_Segunda_Division_women,4608262
ESP_Spanish_Copa_Federacion,834025
ESP_Spanish_Cup,12801
ESP_Spanish_Supercup,584
ESP_Tercera_Division,821269
EST_Esiliiga_B,2901699
EST_Estonian_Cup,886734
EST_Estonian_Esiliiga,873203
EST_Estonian_II_Liga,5699678
EST_Estonian_Meistriliiga,862545
EST_Estonian_Meistriliiga_Women,3221481
EST_Estonian_Small_Cup,7594575
FAI_Cup,7485811
FIN_Finnish_Cup,20601
FIN_Finnish_Kolmonen,5281887
FIN_Finnish_Naistenliiga_W,982877
FIN_Finnish_U19_League,1684210
FIN_Kakkonen_East,53
FIN_Kakkonen_North,51
FIN_Kakkonen_South,49
FIN_Kakkonen_West,1551845
FIN_Veikkausliiga,45
FIN_Ykkonen,47
FRA_Coupe_de_la_Ligue,22358
FRA_French_League_W,6023868
FRA_Ligue_1_Orange,55
FRA_Ligue_2_Orange,57
FRA_Ligue_National,1081960
FRA_Toulon_Tournament,91729
GBR_AFC_Cup,309972
GBR_Barclays_Premier_League,31
GBR_Capital_One_Cup,2134
GBR_English_FA_Cup,30558
GBR_Friendlies_W,4684340
GBR_Isthmian_Premier,820582
GBR_Johnstones_Paint_Trophy,24789
GBR_Lancashire_Senior_Cup,1279245
GBR_League_One,35
GBR_League_Two,37
GBR_NIFL_Premiership,20351
GBR_NIFL_Reserve_League,4540650
GBR_National_League,39
GBR_National_League_North,41
GBR_National_League_South,43
GBR_Northern_Premier,820753
GBR_Professional_Development_League,2129602
GBR_SPFL_Development_League,5808320
GBR_SPFL_Development_League_2,6011072
GBR_Scottish_Challenge_Cup,334679
GBR_Scottish_Championship,107
GBR_Scottish_Cup,409743
GBR_Scottish_League_One,109
GBR_Scottish_League_Two,111
GBR_Scottish_Premiership,105
GBR_Scottish_SWFL_Women,7672495
GBR_Scottish_Womens_Premier_League,7552802
GBR_Specials,2608550
GBR_The_Championship,7129730
GBR_Welsh_League_Cup,695030
GBR_Welsh_Premier_League,252549
GBR_Womens_Super_League,887470
GEO_Georgian_Division_1,4040072
GEO_Pirveli_Liga,2356065
GIB_Gibraltar_Premier_Division,6182297
GRC_Greek_Division_2,69
GRC_Greek_Football_League,833616
GRC_Greek_Super_League,67
GRC_Greek_U20_Super_League,824417
GTM_Guatemalan_Liga_Nacional,6566654
GTM_Guatemalan_Primera_Division_de_Ascenso,6812603
HKG_Hong_Kong_Division_1,833990
HND_Liga_Nacional,4517524
HRV_Croatian_3_HNL,7596190
HRV_Croatian_Division_1,17
HRV_Croatian_Division_2,3992967
HRV_Croatian_U19_League,3765131
HUN_Hungarian_Cup,94603
HUN_Hungarian_NB_I,1842928
HUN_Hungarian_NB_II,4556576
HUN_Hungarian_NB_I_W,8211299
HUN_Hungarian_U19_Division_1,311575
IDN_Indonesian_Cup,8085064
IDN_Presidents_Cup,845150
IND_Calcutta_Premier_Division,2462835
IND_Delhi_Senior_Division,7995514
IND_Goa_Professional_League,3781558
IND_Indian_Super_League,6251219
IND_Mumbai_Elite_Division_League,5007039
IRL_Airtricity_First_Division,79
IRL_Airtricity_Premier_Division,77
IRL_EA_Sports_Cup,24865
IRL_FAI_Cup,7485811
ISL_Icelandic_1st_Division_W,984404
